locality,region,query_used,score,latitude,longitude,resolved_name,admin1,admin2,country,geocode_status
Вашутино д,Владимирская обл,вашутино,8.0,56.50751,55.74164,Вашутино,Пермский край,,Россия,ok
Введенское с,Курганская обл,введенское,14.0,55.32454,64.08232,Введенское,Курганская Область,,Россия,ok
Вейделевка п,Белгородская обл,вейделевка,14.889302349439472,50.15106,38.44898,Вейделевка,Белгородская Область,,Россия,ok
Велиж г,Смоленская обл,велиж,14.900540504031063,55.60448,31.1986,Велиж,Смоленская Область,,Россия,ok
Велижаны с,Тюменская обл,велижаны,8.0,57.5543,65.75678,Велижаны,Тюмень,,Россия,ok
Великие Луки г,Псковская обл,великие луки,15.15439395184994,56.34063,30.54377,Великие Луки,Псковская Область,,Россия,ok
Великий Новгород г,Новгородская обл,великий новгород,15.231433943388328,58.52131,31.27104,Великий Новгород,Новгородская Область,,Россия,ok
Великий Устюг г,Вологодская обл,великий устюг,15.039338571661911,60.76186,46.31352,Великий Устюг,Вологодская Область,,Россия,ok
Великовечное с,Краснодарский край,великовечное,14.865921345143668,44.93402,39.75499,Великовечное,Краснодарский край,,Россия,ok
Великодворский п,Владимирская обл,великодворский,14.77048119229326,55.24996,40.6678,Великодворский,Владимирская область,,Россия,ok
Вельск г,Архангельская обл,вельск,15.004875604512735,61.06919,42.0992,Вельск,Архангельская Область,,Россия,ok
Вельяминово д,Московская обл,вельяминово,8.0,53.04188,35.07817,Вельяминово,Брянская Область,,Россия,ok
Венев г,Тульская обл,венев,14.966147968357552,54.35074,38.26304,Венёв,Тульская Область,,Россия,ok
Венцы п,Краснодарский край,венцы,14.834141021146186,45.37639,40.83583,Венцы,Краснодарский край,,Россия,ok
Веретёнки д,Московская обл,,,,,,,,,not_found
Верещагино г,Пермский край,верещагино,15.001913497606209,58.07815,54.65648,Верещагино,Пермский край,,Россия,ok
Верея г,Московская обл,верея,14.850045386741192,55.34472,36.17194,Верея,Московская область,Наро-Фоминский Район,Россия,ok
Верея п,Московская обл,верея,14.850045386741192,55.34472,36.17194,Верея,Московская область,Наро-Фоминский Район,Россия,ok
Верх-Нейвинский пгт,Свердловская обл,,,,,,,,,not_found
Верх-Тула с,Новосибирская обл,,,,,,,,,not_found
Верх-Чебула пгт,Кемеровская область - Кузбасс обл,,,,,,,,,not_found
Верхнеднепровский пгт,Смоленская обл,верхнеднепровский,14.953993184750518,54.98131,33.34573,Верхнеднепровский,Смоленская Область,,Россия,ok
Верхнерусское с,Ставропольский край,верхнерусское,8.0,45.1312,41.9464,Верхнерусское,Ставрополье,,Россия,ok
Верхнетемерницкий п,Ростовская обл,верхнетемерницкий,14.644571981938558,47.31111,39.73667,Верхнетемерницкий,Ростовская Область,,Россия,ok
Верхнетуломский пгт,Мурманская обл,верхнетуломский,14.754433210805368,68.60727,31.79621,Верхнетуломский,Мурманская Область,,Россия,ok
Верхнеуральск г,Челябинская обл,верхнеуральск,14.923678754199104,53.87897,59.21651,Верхнеуральск,Челябинская,,Россия,ok
Верхнеяркеево с,Башкортостан Респ,верхнеяркеево,14.914398687142617,55.45109,54.30638,Верхнеяркеево,Башкортостан,,Россия,ok
Верхние Киги с,Башкортостан Респ,верхние киги,14.883724564389848,55.40772,58.60131,Верхние Киги,Башкортостан,,Россия,ok
Верхние Серги пгт,Свердловская обл,верхние серги,14.87827830173932,56.64694,59.55556,Верхние Серги,Свердловская Область,,Россия,ok
Верхние Татышлы с,Башкортостан Респ,верхние татышлы,14.875494945509828,56.28879,55.86031,Верхние Татышлы,Башкортостан,,Россия,ok
Верхний Баскунчак п,Астраханская обл,верхний баскунчак,6.907635173197287,48.22564,46.72169,Верх.Баскунчак,Астраханская Область,,Россия,ok
Верхний Карачан с,Воронежская обл,верхний карачан,14.0,51.40635,41.77171,Верхний Карачан,Воронежская Область,,Россия,ok
Верхний Ландех п,Ивановская обл,верхний ландех,14.760589000105313,56.83955,42.59731,Верхний Ландех,Ивановская Область,,Россия,ok
Верхний Любаж с,Курская обл,,,,,,,,,not_found
Верхний Мамон с,Воронежская обл,верхний мамон,14.90214774671388,50.16421,40.38936,Верхний Мамон,Воронежская Область,,Россия,ok
Верхний Тагил г,Свердловская обл,верхний тагил,14.942213982158972,57.37416,59.95422,Верхний Тагил,Свердловская Область,,Россия,ok
Верхний Услон с,Татарстан Респ,верхний услон,14.83584318990313,55.768,48.9776,Верхний Услон,Татарстан,,Россия,ok
Верхний Уфалей г,Челябинская обл,верхний уфалей,15.04116897380954,56.0549,60.22566,Верхний Уфалей,Челябинская,,Россия,ok
Верхняя Подстепновка п,Самарская обл,верхняя подстепновка,14.0,53.08308,50.08552,Верхняя Подстепновка,Самарская Область,,Россия,ok
Верхняя Пышма г,Свердловская обл,верхняя пышма,15.09863430185918,56.97047,60.58219,Верхняя Пышма,Свердловская Область,,Россия,ok
Верхняя Салда г,Свердловская обл,верхняя салда,15.079943270974486,58.045,60.551,Верхняя Салда,Свердловская Область,,Россия,ok
Верхняя Синячиха пгт,Свердловская обл,верхняя синячиха,14.930246366085198,57.97604,61.66733,Верхняя Синячиха,Свердловская Область,,Россия,ok
Верхняя Сысерть п,Свердловская обл,верхняя сысерть,14.701750614294124,56.44012,60.75563,Верхняя Сысерть,Свердловская Область,,Россия,ok
Верхняя Тишанка с,Воронежская обл,верхняя тишанка,14.818952211074809,51.3249,40.5299,Верхняя Тишанка,Воронежская Область,,Россия,ok
Верхняя Тура г,Свердловская обл,верхняя тура,14.926945797645928,58.36083,59.80667,Верхняя Тура,Свердловская Область,,Россия,ok
Верхняя Хава с,Воронежская обл,верхняя хава,14.897094039814244,51.84242,39.93845,Верхняя Хава,Воронежская Область,,Россия,ok
Верховажье с,Вологодская обл,верховажье,14.855660619377309,60.74717,42.04652,Верховажье,Вологодская Область,,Россия,ok
Верховье пгт,Орловская обл,верховье,14.899974278983048,52.81025,37.24187,Верховье,Орловская Область,,Россия,ok
Верхопенье с,Белгородская обл,верхопенье,14.0,50.94537,36.2925,Верхопенье,Белгородская Область,,Россия,ok
Верхотурье г,Свердловская обл,верхотурье,14.904793908261736,58.86332,60.80564,Верхотурье,Свердловская Область,,Россия,ok
Верхошижемье пгт,Кировская обл,верхошижемье,14.847657950853094,58.00814,49.1066,Верхошижемье,Кировская Область,,Россия,ok
Веселая Лопань с,Белгородская обл,,,,,,,,,not_found
Веселево д,Московская обл,,,,,,,,,not_found
Веселое с,Белгородская обл,веселое,8.0,44.4954,41.7999,Весёлое,Ставрополье,,Россия,ok
Веселый п,Ростовская обл,веселый,14.908489052125876,47.09245,40.74209,Веселый,Ростовская Область,,Россия,ok
Весенний п,Оренбургская обл,весенний,8.0,53.96694,38.48559,Весенний,Тульская Область,,Россия,ok
Весьегонск г,Тверская обл,весьегонск,14.90120113770364,58.66769,37.26365,Весьегонск,Тверская Область,,Россия,ok
Ветлуга г,Нижегородская обл,ветлуга,14.904263152755007,57.85516,45.77773,Ветлуга,Нижегородская Область,,Россия,ok
Ветлужский рп,Нижегородская обл,ветлужский,14.858316818033977,57.17355,45.12272,Ветлужский,Нижегородская Область,,Россия,ok
Вешенская ст-ца,Ростовская обл,,,,,,,,,not_found
Вешкайма рп,Ульяновская обл,вешкайма,14.886615849228493,54.05021,47.12197,Вешкайма,Ульяновская Область,,Россия,ok
Видное г,Московская обл,видное,15.08536385018984,55.5523,37.70885,Видное,Московская область,Ленинский Район,Россия,ok
Видяево п,Мурманская обл,видяево,14.886262516940892,69.31914,32.80488,Видяево,Мурманская Область,Vidyayevo,Россия,ok
Визинга с,Коми Респ,визинга,14.882305893430164,61.07321,50.07756,Визинга,Коми,,Россия,ok
Вилга д,Карелия Респ,вилга,14.0,61.81872,34.08302,Вилга,Карелия,,Россия,ok
Виллози гп,Ленинградская обл,,,,,,,,,not_found
Виловатово с,Марий Эл Респ,виловатово,14.71616220029392,56.1724,46.60134,Виловатово,Марий Эл,,Россия,ok
Винзили рп,Тюменская обл,винзили,8.93254531790767,56.95938,65.7708,Винзили,Тюмень,,Россия,ok
Винницы с,Ленинградская обл,винницы,14.769666708152648,60.62867,34.77302,Винницы,Ленинградская область,,Россия,ok
Виноградный п,Краснодарский край,виноградный,14.80867179203039,45.0561,37.32125,Виноградный,Краснодарский край,,Россия,ok
Виноградово п,Московская обл,виноградово,14.916962253869762,56.93333,37.55,Виноградово,Московская область,,Россия,ok
Винсады с,Ставропольский край,винсады,8.90994088112689,44.08083,42.96528,Винсады,Ставрополье,,Россия,ok
Вистино д,Ленинградская обл,вистино,14.778364059622126,59.77558,28.47708,Вистино,Ленинградская область,,Россия,ok
Вичуга г,Ивановская обл,вичуга,15.057316137691044,57.2145,41.92555,Вичуга,Ивановская Область,,Россия,ok
Вишневогорск рп,Челябинская обл,вишневогорск,14.866578559546609,55.9913,60.6579,Вишневогорск,Челябинская,,Россия,ok
Владикавказ г,Северная Осетия - Алания Респ,владикавказ,9.263218642816437,43.04101,44.66986,Владикавказ,Северная Осетия,,Россия,ok
Владимир г,Владимирская обл,владимир,15.278556108632111,56.13854,40.39976,Владимир,Владимирская область,,Россия,ok
Владимирская ст-ца,Краснодарский край,,,,,,,,,not_found
Владимирский Лагерь м,Псковская обл,,,,,,,,,not_found
Власиха п,Московская обл,власиха,14.0,55.68423,37.19661,Власиха,Московская область,,Россия,ok
Вожгалы с,Кировская обл,вожгалы,14.0,58.15649,50.19893,Вожгалы,Кировская Область,,Россия,ok
Вожега рп,Вологодская обл,вожега,14.881045964216192,60.47246,40.22134,Вожега,Вологодская Область,,Россия,ok
Вознесенка с,Челябинская обл,вознесенка,14.0,55.53694,59.62556,Вознесенка,Челябинская,,Россия,ok
Вознесенская ст-ца,Краснодарский край,,,,,,,,,not_found
Вознесенское рп,Нижегородская обл,вознесенское,14.87408166275673,54.88979,42.75703,Вознесенское,Нижегородская Область,Вознесенский Район,Россия,ok
Вознесенское с,Пермский край,вознесенское,14.0,58.15525,54.62891,Вознесенское,Пермский край,,Россия,ok
Войсковицы д,Ленинградская обл,войсковицы,14.826796230533873,59.53266,29.9362,Войсковицы,Ленинградская область,,Россия,ok
Войсковицы п,Ленинградская обл,войсковицы,14.826796230533873,59.53266,29.9362,Войсковицы,Ленинградская область,,Россия,ok
Волга п,Ярославская обл,волга,14.815190987294091,57.95157,38.38785,Волга,Ярославская Область,,Россия,ok
Волгоград г,Волгоградская обл,волгоград,15.382895379142546,48.71378,44.4976,Волгоград,Волгоградская Область,,Россия,ok
Волгодонск г,Ростовская обл,волгодонск,15.203012274654307,47.51141,42.15269,Волгодонск,Ростовская Область,,Россия,ok
Волгореченск г,Костромская обл,волгореченск,14.978137641414117,57.44441,41.16335,Волгореченск,Костромская Область,,Россия,ok
Волжск г,Марий Эл Респ,волжск,15.096821553075925,55.86661,48.35931,Волжск,Марий Эл,,Россия,ok
Волжский Утес п,Самарская обл,,,,,,,,,not_found
Волжский г,Волгоградская обл,волжский,15.268631740492705,48.78583,44.77973,Волжский,Волгоградская Область,,Россия,ok
Волжский пгт,Самарская обл,волжский,14.885950548451913,53.43058,50.119,Волжский,Самарская Область,,Россия,ok
Волово п,Тульская обл,волово,14.831630024903683,53.55818,38.0041,Волово,Тульская Область,,Россия,ok
Волово с,Липецкая обл,волово,14.830325712085294,52.02684,37.88204,Волово,Липецкая Область,,Россия,ok
Вологда г,Вологодская обл,вологда,15.265210691619927,59.2239,39.88398,Вологда,Вологодская Область,,Россия,ok
Володарск г,Нижегородская обл,володарск,14.929311779843376,56.22547,43.17585,Володарск,Нижегородская Область,Володарский Район,Россия,ok
Володарский п,Астраханская обл,володарский,14.916009915553945,46.40431,48.53899,Володарский,Астраханская Область,,Россия,ok
Волоколамск г,Московская обл,волоколамск,15.012667110305037,56.03361,35.96944,Волоколамск,Московская область,Волоколамский Городской Округ,Россия,ok
Волоконовка п,Белгородская обл,волоконовка,14.94265801469736,50.48504,37.86093,Волоконовка,Белгородская Область,,Россия,ok
Волосово г,Ленинградская обл,волосово,14.940071276695983,59.44525,29.48911,Волосово,Ленинградская область,,Россия,ok
Волошино сл,Ростовская обл,,,,,,,,,not_found
Волхов г,Ленинградская обл,волхов,15.072928448719152,59.92335,32.33966,Волхов,Ленинградская область,Волховский район,Россия,ok
Волчанск г,Свердловская обл,волчанск,14.924994562656854,59.9378,60.081,Волчанск,Свердловская Область,,Россия,ok
Вольгинский п,Владимирская обл,вольгинский,14.86154082389132,55.942,39.247,Вольгинский,Владимирская область,,Россия,ok
Вольное с,Адыгея Респ,вольное,14.0,44.6232,40.7034,Вольное,Адыгея,,Россия,ok
Вольск г,Саратовская обл,вольск,15.116338217309693,52.04172,47.38267,Вольск,Саратовская Область,,Россия,ok
Воля п,Воронежская обл,воля,14.897081334141143,51.7696,39.5359,Воля,Воронежская Область,,Россия,ok
Воробьевка с,Воронежская обл,воробьевка,14.0,50.6481,40.95028,Воробьевка,Воронежская Область,,Россия,ok
Воронеж г,Воронежская обл,воронеж,15.386196466233615,51.66833,39.19204,Воронеж,Воронежская Область,,Россия,ok
Воронеж-45 г,Воронежская обл,,,,,,,,,not_found
Воронежская ст-ца,Краснодарский край,,,,,,,,,not_found
Воронцовка с,Воронежская обл,воронцовка,14.853070154144104,50.6132,40.3549,Воронцовка,Воронежская Область,,Россия,ok
Воротынец рп,Нижегородская обл,воротынец,14.872453251118548,56.061,45.86522,Воротынец,Нижегородская Область,Воротынский Район,Россия,ok
Воротынск п,Калужская обл,воротынск,14.0,54.47107,36.05333,Воротынск,Калужская Область,,Россия,ok
Ворсино с,Калужская обл,ворсино,8.0,57.06661,42.23256,Ворсино,Ивановская Область,,Россия,ok
Ворсма г,Нижегородская обл,ворсма,14.942246342000692,55.99062,43.27249,Ворсма,Нижегородская Область,,Россия,ok
Воскресеновка с,Липецкая обл,воскресеновка,14.0,52.69638,39.68214,Воскресеновка,Липецкая Область,,Россия,ok
Воскресенск г,Московская обл,воскресенск,15.125268993314284,55.313,38.691,Воскресенск,Московская область,,Россия,ok
Воскресенское рп,Нижегородская обл,воскресенское,14.87043364384894,56.83816,45.4322,Воскресенское,Нижегородская Область,Воскресенский Район,Россия,ok
Воскресенское с,Калужская обл,воскресенское,8.87043364384894,56.83816,45.4322,Воскресенское,Нижегородская Область,Воскресенский Район,Россия,ok
Воскресенское с,Саратовская обл,воскресенское,14.807464907506665,51.82194,46.93614,Воскресенское,Саратовская Область,,Россия,ok
Воскресенское с,Тульская обл,воскресенское,8.87043364384894,56.83816,45.4322,Воскресенское,Нижегородская Область,Воскресенский Район,Россия,ok
Восточный п,Свердловская обл,восточный,14.863692987301857,58.79991,61.81391,Восточный,Свердловская Область,,Россия,ok
Восход п,Свердловская обл,восход,8.0,55.97497,36.4556,Восход,Московская область,,Россия,ok
Воткинск г,Удмуртская Респ,воткинск,9.149917130873757,57.04867,53.9872,Воткинск,Удмуртия,,Россия,ok
Вохма п,Костромская обл,вохма,14.844762872803033,58.93091,46.75927,Вохма,Костромская Область,,Россия,ok
Вохтога пгт,Вологодская обл,вохтога,14.886897618927454,58.80949,41.06245,Вохтога,Вологодская Область,,Россия,ok
Всеволожск г,Ленинградская обл,всеволожск,15.078363283777392,60.01512,30.67314,Всеволожск,Ленинградская область,,Россия,ok
Вуктыл г,Коми Респ,вуктыл,14.952471305968102,63.8478,57.30987,Вуктыл,Коми,,Россия,ok
Вурнары пгт,Чувашская Республика - Чувашия,вурнары,8.928970592735693,55.49044,46.96479,Вурнары,Чувашия,,Россия,ok
Выборг г,Ленинградская обл,выборг,15.127255945486043,60.70763,28.75283,Выборг,Ленинградская область,,Россия,ok
Выборгский р-н,Ленинградская обл,,,,,,,,,not_found
Выгоничи п,Брянская обл,выгоничи,14.853444354482276,53.09978,34.06741,Выгоничи,Брянская Область,,Россия,ok
Выгорное 1-е с,Курская обл,,,,,,,,,not_found
Выкса г,Нижегородская обл,выкса,15.102947178800008,55.32058,42.17402,Выкса,Нижегородская Область,,Россия,ok
Выльгорт с,Коми Респ,выльгорт,14.0,64.06048,46.99777,Выльгорт,Коми,,Россия,ok
Выра д,Ленинградская обл,выра,14.568697535633982,59.3458,29.95852,Выра,Ленинградская область,,Россия,ok
Вырица гп,Ленинградская обл,,,,,,,,,not_found
Вырица пгт,Ленинградская обл,вырица,14.931542084842668,59.40778,30.34806,Вырица,Ленинградская область,,Россия,ok
Выселки с,Самарская обл,выселки,14.0,53.6426,49.2947,Выселки,Самарская Область,,Россия,ok
Выселки ст-ца,Краснодарский край,,,,,,,,,not_found
Выскатка д,Ленинградская обл,выскатка,14.0,59.01901,28.18322,Выскатка,Ленинградская область,,Россия,ok
Высокая Гора с,Татарстан Респ,высокая гора,14.898894529119609,55.90988,49.31343,Высокая Гора,Татарстан,,Россия,ok
Высоковск г,Московская обл,высоковск,14.92847982828942,56.31667,36.55,Высоковск,Московская область,,Россия,ok
Высоконские Дворы х,Курская обл,высоконские дворы,14.0,51.48518,36.06865,Высоконские Дворы,Курская Область,,Россия,ok
Высоцк г,Ленинградская обл,высоцк,14.753583046279836,60.62534,28.56808,Высоцк,Ленинградская область,,Россия,ok
Вытегра г,Вологодская обл,вытегра,14.931470038730042,61.00636,36.44811,Вытегра,Вологодская Область,,Россия,ok
Вышков рп,Брянская обл,вышков,14.796623977655948,52.4764,31.6873,Вышков,Брянская Область,,Россия,ok
Вышний Волочек г,Тверская обл,вышний волочек,15.089304733333773,57.5888,34.56854,Вышний Волочёк,Тверская Область,,Россия,ok
Вязники г,Владимирская обл,вязники,15.057755384528328,56.24227,42.14911,Вязники,Владимирская область,,Россия,ok
Вязовка с,Нижегородская обл,вязовка,14.0,57.42291,46.65532,Вязовка,Нижегородская Область,,Россия,ok
Вязьма г,Смоленская обл,вязьма,15.092415631759025,55.20997,34.29695,Вязьма,Смоленская Область,,Россия,ok
Вязьма-Брянская с,Смоленская обл,,,,,,,,,not_found
Вятские Поляны г,Кировская обл,вятские поляны,15.058494163450504,56.22912,51.06098,Вятские Поляны,Кировская Область,,Россия,ok
Вяхтелево д,Ленинградская обл,,,,,,,,,not_found
Гаврилов Посад г,Ивановская обл,гаврилов посад,14.884635304331432,56.55894,40.12039,Гаврилов Посад,Ивановская Область,,Россия,ok
Гаврилов-Ям г.,Ярославская обл,,,,,,,,,not_found
Гагарин г,Смоленская обл,гагарин,15.027090459300677,55.55329,34.99684,Гагарин,Смоленская Область,,Россия,ok
Гагино с,Нижегородская обл,гагино,14.8277411998949,55.23103,45.02448,Гагино,Нижегородская Область,Гагинский Район,Россия,ok
Гаджиево г,Мурманская обл,гаджиево,14.956282655529346,69.25506,33.33616,Гаджиево,Мурманская Область,,Россия,ok
Газопровод п,Липецкая обл,газопровод,14.0,52.6009,38.4391,Газопровод,Липецкая Область,,Россия,ok
Гай г,Оренбургская обл,гай,15.063633609994763,51.47274,58.45155,Гай,Оренбургская Область,,Россия,ok
Гай-Кодзор с,Краснодарский край,,,,,,,,,not_found
Гайны п,Пермский край,гайны,14.837378460812088,60.30443,54.32413,Гайны,Пермский край,,Россия,ok
Галич г,Костромская обл,галич,14.983064800635916,58.37884,42.34633,Галич,Костромская Область,,Россия,ok
Гамово с,Пермский край,гамово,14.83809151731236,57.8652,56.1056,Гамово,Пермский край,,Россия,ok
Гарь-Покровское п,Московская обл,,,,,,,,,not_found
Гатчина г,Ленинградская обл,гатчина,15.140491700214822,59.57639,30.12833,Гатчина,Ленинградская область,Гатчинский Район,Россия,ok
Гать д,Орловская обл,гать,14.0,52.88876,36.01471,Гать,Орловская Область,,Россия,ok
Гафурово с,Башкортостан Респ,гафурово,14.0,54.52367,53.69615,Гафурово,Башкортостан,,Россия,ok
Гвардейск г,Калининградская обл,гвардейск,14.947952746179173,54.64772,21.06513,Гвардейск,Калининградская Область,,Россия,ok
Гдов г,Псковская обл,гдов,14.86164953924901,58.74439,27.81959,Гдов,Псковская Область,,Россия,ok
Геленджик г,Краснодарский край,геленджик,15.083399672164784,44.58014,38.06646,Геленджик,Краснодарский край,,Россия,ok
Генеральское с,Саратовская обл,генеральское,14.0,51.59361,46.34056,Генеральское,Саратовская Область,,Россия,ok
Георгиевка с,Самарская обл,георгиевка,14.819946419761216,53.27438,50.99848,Георгиевка,Самарская Область,,Россия,ok
Георгиевск г,Ставропольский край,георгиевск,9.119340866899844,44.1494,43.47019,Георгиевск,Ставрополье,,Россия,ok
Георгиевское с,Краснодарский край,георгиевское,8.793773177526012,58.73187,45.02554,Георгиевское,Костромская Область,,Россия,ok
Гиагинская ст-ца,Адыгея Респ,,,,,,,,,not_found
Гигант п,Ростовская обл,гигант,14.921383426123043,46.50665,41.34185,Гигант,Ростовская Область,,Россия,ok
Гидроторф рп,Нижегородская обл,гидроторф,14.89126079636709,56.47562,43.53813,Гидроторф,Нижегородская Область,Балахнинский Район,Россия,ok
Гирей пгт,Краснодарский край,гирей,14.881180122393877,45.4012,40.6587,Гирей,Краснодарский край,,Россия,ok
Глажево п,Ленинградская обл,глажево,14.0,59.7,32.13333,Глажево,Ленинградская область,,Россия,ok
Глазов г.,Удмуртская Респ,глазов,9.151967265142748,58.14,52.65619,Глазов,Удмуртия,,Россия,ok
Глазуновка пгт,Орловская обл,глазуновка,14.880492526261806,52.50057,36.31997,Глазуновка,Орловская Область,,Россия,ok
Глебово с,Ярославская обл,глебово,14.604973345523195,58.00519,38.44731,Глебово,Ярославская Область,,Россия,ok
Глебовский п,Московская обл,глебовский,8.0,52.49849,36.22191,Глебовский,Орловская Область,,Россия,ok
Глебычево п,Ленинградская обл,глебычево,14.80845624152353,60.43868,28.71826,Глебычево,Ленинградская область,Выборгский Район,Россия,ok
Глинищево с,Брянская обл,глинищево,11.833254893925265,53.30332,34.07158,Глинище,Брянская Область,Брянский Район,Россия,ok
Глинка с,Смоленская обл,глинка,14.758324752430337,54.6435,32.87299,Глинка,Смоленская Область,,Россия,ok
Глинково с,Московская обл,глинково,14.0,56.6,37.26667,Глинково,Московская область,,Россия,ok
Глинское с,Свердловская обл,глинское,14.0,57.48077,61.42004,Глинское,Свердловская Область,,Россия,ok
Глубокий рп,Ростовская обл,глубокий,14.932598779550217,48.52716,40.33144,Глубокий,Ростовская Область,,Россия,ok
Голицыно г,Московская обл,голицыно,14.968390017054968,55.60928,36.98212,Голицыно,Московская область,,Россия,ok
Головеньки д,Московская обл,головеньки,8.0,57.415,37.81278,Головеньки,Тверская Область,,Россия,ok
Головино п,Владимирская обл,головино,14.800336305862997,55.96128,40.42511,Головино,Владимирская область,,Россия,ok
Головково д,Нижегородская обл,головково,8.0,57.8352,33.56962,Головково,Тверская Область,,Россия,ok
Головчино с,Белгородская обл,головчино,14.858615939588097,50.5341,35.797,Головчино,Белгородская Область,,Россия,ok
Голубицкая ст-ца,Краснодарский край,,,,,,,,,not_found
Голынки п,Смоленская обл,голынки,14.823827262463302,54.86964,31.38609,Голынки,Смоленская Область,,Россия,ok
Голышманово рп,Тюменская обл,голышманово,8.950487391937706,56.39865,68.37555,Голышманово,Тюмень,,Россия,ok
Горбатов г,Нижегородская обл,горбатов,14.756786260546388,56.1311,43.06363,Горбатов,Нижегородская Область,Павловский Район,Россия,ok
Горбунки д,Ленинградская обл,горбунки,14.893155196669452,59.81307,29.98478,Горбунки,Ленинградская область,,Россия,ok
Горбуша п,Московская обл,горбуша,8.0,60.061,36.9314,Горбуша,Вологодская Область,,Россия,ok
Гордеевка с,Брянская обл,гордеевка,14.800836557031293,52.9569,31.9703,Гордеевка,Брянская Область,,Россия,ok
Горелое с,Тамбовская обл,горелое,14.8277411998949,52.93697,41.50435,Горелое,Тамбовская Область,,Россия,ok
Горка-Муравьевская д,Архангельская обл,,,,,,,,,not_found
Горки-10 п,Московская обл,,,,,,,,,not_found
Горно-Алтайск г,Алтай Респ,,,,,,,,,not_found
Горнозаводск г,Пермский край,горнозаводск,14.94569660474376,58.37314,58.32607,Горнозаводск,Пермский край,,Россия,ok
Горнозаводское с,Ставропольский край,горнозаводское,8.0,44.02639,43.94722,Горнозаводское,Ставрополье,,Россия,ok
Горный (Двуреченское с/п) п,Пермский край,,,,,,,,,not_found
Горный рп,Новосибирская обл,горный,14.919105561056432,55.1153,83.9059,Горный,Новосибирская Область,,Россия,ok
Горный рп,Саратовская обл,горный,14.886021535890118,51.75748,48.53688,Горный,Саратовская Область,,Россия,ok
Горняк г,Алтайский край,горняк,14.96594395171044,50.99529,81.46693,Горняк,Алтайский Край,,Россия,ok
Горняцкий п,Ростовская обл,горняцкий,14.913701670755731,48.29649,40.92404,Горняцкий,Ростовская Область,,Россия,ok
Городец г,Нижегородская обл,городец,15.036687559697723,56.65497,43.47269,Городец,Нижегородская Область,,Россия,ok
Городище г,Пензенская обл,городище,14.90282187951849,53.2775,45.7017,Городище,Пензенская Область,,Россия,ok
Городище рп,Волгоградская обл,городище,14.987868243361715,48.80263,44.47491,Городище,Волгоградская Область,,Россия,ok
Городище с,Белгородская обл,городище,8.987868243361715,48.80263,44.47491,Городище,Волгоградская Область,,Россия,ok
Городищи п,Владимирская обл,городищи,14.0,55.86765,39.08457,Городищи,Владимирская область,,Россия,ok
Гороховец г,Владимирская обл,гороховец,14.95643718249695,56.19958,42.68866,Гороховец,Владимирская область,,Россия,ok
Горшечное рп,Курская обл,горшечное,14.881863022910036,51.52356,38.03799,Горшечное,Курская Область,,Россия,ok
Горы с,Московская обл,горы,8.0,56.86973,34.65442,Горы,Тверская Область,,Россия,ok
Горьковское рп,Омская обл,горьковское,14.0,55.36852,74.36689,Горьковское,Омская Область,,Россия,ok
Горячий Ключ г,Краснодарский край,горячий ключ,15.024277724497,44.63394,39.13582,Горячий Ключ,Краснодарский край,,Россия,ok
Горячий Ключ п,Омская обл,горячий ключ,14.0,55.0299,73.1471,Горячий Ключ,Омская Область,,Россия,ok
Гостагаевская ст-ца,Краснодарский край,,,,,,,,,not_found
Гостилицы д,Ленинградская обл,гостилицы,14.81786387885907,59.74832,29.62205,Гостилицы,Ленинградская область,,Россия,ok
Гофицкое с,Ставропольский край,гофицкое,8.861141186665522,45.07917,43.04639,Гофицкое,Ставрополье,,Россия,ok
Грабово с,Пензенская обл,грабово,14.88961774222748,53.38751,45.06395,Грабово,Пензенская Область,,Россия,ok
Грайворон г,Белгородская обл,грайворон,14.873439915006369,50.47893,35.68087,Грайворон,Белгородская Область,,Россия,ok
Грахово с,Удмуртская Респ,грахово,8.81318247850072,56.05017,51.96758,Грахово,Удмуртия,,Россия,ok
Грачевка с,Оренбургская обл,грачевка,14.0,52.91996,52.87026,Грачевка,Оренбургская Область,,Россия,ok
Грачевка с,Ставропольский край,грачевка,8.0,52.91996,52.87026,Грачевка,Оренбургская Область,,Россия,ok
Гремячее с,Тульская обл,гремячее,14.0,54.13149,38.6607,Гремячее,Тульская Область,,Россия,ok
Гремячинск г,Пермский край,гремячинск,14.940054742304412,58.5603,57.851,Гремячинск,Пермский край,,Россия,ok
Гремячье с,Воронежская обл,гремячье,14.0,51.97551,38.799,Гремячье,Воронежская Область,,Россия,ok
Грибановский пгт,Воронежская обл,грибановский,14.97538848483049,51.45015,41.96206,Грибановский,Воронежская Область,,Россия,ok
Гривенская ст-ца,Краснодарский край,,,,,,,,,not_found
Григорово д,Новгородская обл,григорово,14.0,58.5508,31.20739,Григорово,Новгородская Область,,Россия,ok
Григорополисская ст-ца,Ставропольский край,,,,,,,,,not_found
Грицовский п,Тульская обл,грицовский,14.879011689289246,54.13761,38.16043,Грицовский,Тульская Область,,Россия,ok
Грязи г,Липецкая обл,грязи,15.076667282272318,52.49535,39.94031,Грязи,Липецкая Область,,Россия,ok
Грязновское с,Свердловская обл,грязновское,14.730451594646016,56.7825,61.7053,Грязновское,Свердловская Область,,Россия,ok
Грязовец г,Вологодская обл,грязовец,14.968868412549693,58.88,40.2525,Грязовец,Вологодская Область,,Россия,ok
