Precatalyst,Cocatalyst,ratio,solvent,T,P,time,Activity,C4,C6,C8,1-C4,1-C6,Precatalyst_metal,ligand_type
N1(/[Cr](O2CCCC2)(Cl)(Cl)(Cl)[NH+](C2C=CC=CC=2)CC/1)=C/C1SC=CC=1,MAO,300.0,Cc1ccccc1,353.15,20.0,0.25,2443155.0,65.7,16.6,5.9,99.1,99.3,Cr,"(N,N,O)"
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N(C4C(C(C)C)=CC=CC=4C(C)C)=C(C)C4C=CC5C=CC=1C=2C=5N=43,MAO,1000.0,Cc1ccccc1,293.15,1.0,1.0,45000.0,83.7,8.8,7.5,,,Cr,"(N,N,N)"
C1=CC2C=N3[Ni]4(N(=CC5C=CC=CC=5O4)CCCCNC(CCN(CCCCCCCCCCCC)CCC(=O)NCCCC3)=O)OC=2C=C1,DEAC,500.0,Cc1ccccc1,308.15,3.0,0.5,374000.0,81.33,10.26,2.0,,,Ni,"(N,N,O,O)"
CCCCCCCCCCCCN1CCC(=O)NCCN2[Ni]3(N(=CC4C(O3)=CC=CC=4)CCNC(=O)CC1)OC1C=CC=CC=1C=2,MAO,500.0,Cc1ccccc1,298.15,5.0,0.5,233000.0,38.27,5.79,52.79,,,Ni,"(N,N,O,O)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)(Cl)N4=C(C5N(C)C6C=CC=CC=6N=53)C=CC=C4C=2C)C=1C,MAO,500.0,Cc1ccccc1,313.15,10.0,0.5,49000.0,34.9,21.6,,,,Fe,"(N,N,N)"
N12[Ni]3(O(C4C=CC=CC=4)C4C(N3=CC1=CC=C2)=CC=CC=4)Cl,EASC,250.0,Cc1ccccc1,303.15,20.0,0.33,412335.0,98.9,1.1,,84.0,30.0,Ni,"(N,N,O)"
C1C=CC2N3[Ni]4(N(C5C(C)=CC(C)=CC=5C)=C(C)C5NC6C=CC=CC=6N=54)(Br)(Br)N(C4C(C)=CC(C)=CC=4C)=C(C)C=3NC=2C=1,MAO,1500.0,Cc1ccccc1,323.15,1.0,0.5,72000.0,18.4,19.54,14.84,,,Ni,"(N,N,N,N)"
C1C=CC2N3[Ni](Br)(Br)N(C4C(C)=CC=CC=4C)=C(C(C)(C)C)C=3C=CC=2C=1,EASC,600.0,Cc1ccccc1,303.15,5.0,0.5,1810000.0,10.7,24.6,,,,Ni,"(N,N)"
C1C=CC2N3[Ni](Br)(Br)N(C4C(C)=CC=CC=4C)=C(C(C)(C)C)C=3C=CC=2C=1,MMAO,2000.0,Cc1ccccc1,303.15,5.0,0.5,1450000.0,8.9,78.1,,,,Ni,"(N,N)"
C1C([N+]([O-])=O)=CN2[Ni](Br)(Br)N(C3C(C(C)C)=CC=CC=3C(C)C)=C(C3C=CC=CC=3)NC=2C=1,MAO,600.0,C(Cl)Cl,293.15,0.5,0.5,294525.0,31.8,38.7,25.4,,,Ni,"(N,N)"
C1C=CC(C(OCC)=O)=N2[Ni](Br)(Br)N(C3C(Br)=CC=CC=3Br)=C(C)C=12,MAO,1000.0,Cc1ccccc1,333.15,1.0,0.5,23000.0,73.67,3.17,,,,Ni,"(N,N)"
C1N=C2C3N=CC=CC=3/C(=N3/NC(=O[Ni]4/3(/N(=C3\C5C=CC=NC=5C5N=CC=CC\3=5)/NC(C3C=CC=CC=3)=O4)(Cl)Cl)C3C=CC=CC=3)/C2=CC=1,MAO,800.0,Cc1ccccc1,303.15,1.0,0.5,146000.0,83.4,14.8,1.8,100.0,6.1,Ni,"(N,N,O,O)"
CC(C)CN1[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Cr]2(Cl[Cr]3(Cl)(Cl)([P+](N(CC(C)C)[P+]3(C3C=CC=CC=3)C3C=CC=CC=3)(C3C=CC=CC=3)C3C=CC=CC=3)Cl2)(Cl)(Cl)[P+]1(C1C=CC=CC=1)C1C=CC=CC=1,MAO,800.0,Cc1ccccc1,328.15,40.0,0.5,3899999.9999999995,,23.5,65.6,,46.2,Cr,"(P,P)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C(C)=N3C3C(F)=CC(F)=CC=3F)C=CC3C=CC=1C=2C=34,MMAO,1000.0,Cc1ccccc1,293.15,10.0,0.5,20600000.0,44.5,32.8,22.7,,,Fe,"(N,N,N)"
C12CC[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Cl)(Cl)N=1C=CC=C2,MAO,2000.0,Cc1ccccc1,303.15,10.0,0.5,1708245.0,67.9,23.8,6.6,,14.6,Ni,"(N,P)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C(C)=N3C3C(C(C)C)=CC=CC=3)C=CC3C=CC=1C=2C=34,EADC,100.0,Cc1ccccc1,293.15,1.0,0.5,44700.0,100.0,,,99.0,,Fe,"(N,N,N)"
CCCCCCCCCCCCN(CCC(NCCN1=CC2N([Ni]1(Cl)Cl)=CC=CC=2)=O)CCC(NCCN1=CC2=N([Ni]1(Cl)Cl)C=CC=C2)O,MAO,500.0,Cc1ccccc1,298.15,5.0,0.5,602922.37,54.41,21.52,11.62,,,Ni,"(N,N)"
[Ni]12(N(CC(C)(C)C)=C3C=C(NCC(C)(C)C)C(=O)C=C3O1)N(CC(C)(C)C)=C1C=C(NCC(C)(C)C)C(=O)C=C1O2,EADC,6.0,Clc1ccccc1,303.15,10.0,0.5833333333333334,799425.0,49.0,45.0,,,,Ni,"(N,N,O,O)"
C1C(C)=N2[Ni](Cl)(Cl)N(C3C=CC=CC=3C(F)(F)F)=CC2=CC=1,MAO,500.0,Cc1ccccc1,308.15,2.0,0.5,9000.0,90.2,9.8,0.0,,,Ni,"(N,N)"
C1C=CC(C)=C(N2[Ni]3(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1C,DEAC,300.0,Cc1ccccc1,313.15,10.0,0.5,1590000.0,88.3,9.3,,80.9,,Ni,"(N,N,N)"
C1C=C2C3C=CC=CN=3[Ni](Br)(C3C(C)=CC(C)=CC=3C)N2=CC=1,MAO,3000.0,Cc1ccccc1,298.15,5.0,0.25,1866666.6666666667,47.272727272727266,27.27272727272727,14.545454545454545,,,Ni,"(C,N,N)"
C1C=CC(C(C)C)=C(N2[Ni]3(Br)(Br)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1C(C)C,DEAC,300.0,Cc1ccccc1,313.15,10.0,0.5,1150000.0,91.7,5.1,,85.4,,Ni,"(N,N,N)"
C1C=C(C2C=CC=CC=2)N2[Cr]3(Cl)(Cl)(Cl)N4C5C=CC=CC=5NC=4C4C=CC5C=CC=1C=2C=5N=43,MMAO,1500.0,Cc1ccccc1,333.15,10.0,0.5,258000.0,56.3,22.9,,,,Cr,"(N,N,N)"
C1(N(CCOC)C=C[N+]=1C1C(C(C)C)=CC=CC=1C(C)C)[Ni](C1N(CCOC)C=C[N+]=1C1C(C(C)C)=CC=CC=1C(C)C)(Cl)Cl,MAO,400.0,Cc1ccccc1,295.65,10.0,0.58,11738.0,76.0,18.0,,82.0,9.0,Ni,"(C,C)"
C1C=CC=C2N3[Ni]4(Br[Ni]5(Br)(N6C7C=CC=CC=7N=CC=6C6N5=CC=CC=6)Br4)(Br)N4=CC=CC=C4C=3C=NC=12,MAO,1000.0,Cc1ccccc1,313.15,1.0,0.5,69000.0,100.0,0.0,,100.0,,Ni,"(N,N)"
C1=C2N([Ni]([P+](OC2)(C2=CC=CC=C2)C2=CC=CC=C2)(Br)Br)=CC=C1,EADC,4.0,Clc1ccccc1,300.65,10.0,0.5833333333333334,1237005.0,74.0,24.0,2.0,6.0,,Ni,"(N,P)"
C1C=C(C2C=CC=CC=2)N2[Ni]3(Cl)(Cl)N(C4C(CC)=CC=CC=4CC)=C(C4C=CC=CC=4)C4C=CC5C=CC=1C=2C=5N=43,DEAC,300.0,Cc1ccccc1,303.15,10.0,0.5,225999.99999999997,98.9,1.1,,97.1,,Ni,"(N,N,N)"
C12C(C)=N(C3C=C(Cl)C=C(Cl)C=3)[Fe]3(Cl)(Cl)(Cl)N=1C(C(=N3C1C=C(Cl)C=C(Cl)C=1)C)=CC=C2,MAO,2500.0,Cc1ccccc1,333.15,10.0,1.0,7258552.631578947,42.9,35.6,12.8,99.5,76.7,Fe,"(N,N,N)"
N12CC3C=CC=CN=3[Ni]3(Cl)(Cl[Ni]4(Cl)(Cl3)N3C=CC=CC=3CN3N4=C(C)C=C3C)N1=C(C)C=C2C,EADC,250.0,Cc1ccccc1,341.15,30.0,0.5,12180000.0,45.0,28.0,24.0,,,Ni,"(N,N)"
C1(Cl)C=C2C3=N([Ni]4(OC2=C(Cl)C=1)OC1=C(Cl)C=C(Cl)C=C1C1=N4C2C=CC=CC=2N1C(C)C)C1C=CC=CC=1N3C(C)C,DEAC,200.0,Cc1ccccc1,313.15,1.0,0.5,5800.0,96.8,3.2,,,,Ni,"(N,N,O,O)"
C1C=CN2[Co]3(Cl)(Cl)N4=C(C(C5C=CC=CC=5)=N3C3C(C(C)C)=CC=CC=3C(C)C)C=CC3C=CC=1C=2C=34,MMAO,1000.0,Cc1ccccc1,293.15,1.0,0.5,700000.0,94.2,5.8,,,,Co,"(N,N,N)"
[Ni]1([P+](N(C2C(C(C)C)=CC=CC=2C(C)C)[Si](C)(C)C[P+]1(C1C=CC=CC=1)C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)(Br)Br,EADC,500.0,CC1CCCCC1,318.15,10.0,0.75,2190000.0,92.5,7.5,,79.2,27.5,Ni,"(P,P)"
C1C=C2C3C=CC=CN=3[Ni](Br)(C3C(C(C)C)=CC(C(C)C)=CC=3C(C)C)N2=CC=1,MAO,3000.0,Cc1ccccc1,298.15,5.0,0.25,1466666.6666666667,36.36363636363636,27.27272727272727,18.18181818181818,,,Ni,"(C,N,N)"
C1C=CC=C(OCCN2[Co](Cl)(Cl)OC3=CC=CC=C3C=2)C=1,MAO,300.0,Cc1ccccc1,323.15,30.0,0.5,325000.0,42.27,18.59,16.56,,,Co,"(N,O)"
C1C=CN2[Co]3(Cl)(Cl)N4=C(C=N3C3C(Cl)=CC=CC=3Cl)C=CC3C=CC=1C=2C=34,MAO,500.0,Cc1ccccc1,313.15,10.0,1.0,1180000.0,98.6,1.4,0.0,,,Co,"(N,N,N)"
N12[Cr](Cl)(O3CCCC3)(Cl)(OC3C(C(C)(C)C)=CC(C(C)(C)C)=CC=3C=1)N1=CC=C(C3C(C)=CC(C)=CC=3C)N1CC2,MAO,500.0,Cc1ccccc1,353.15,20.0,0.08,995775.0,19.9,18.9,17.3,73.7,89.6,Cr,"(N,N,O,O)"
CCCCCCCCCCCCN1CCC(=O)NCCN2[Ni]3(N(=CC4C(O3)=CC=CC=4)CCNC(=O)CC1)OC1C=CC=CC=1C=2,MAO,500.0,Cc1ccccc1,298.15,5.0,0.5,233000.0,38.27,5.79,52.79,,,Ni,"(N,N,O,O)"
N12C(C)=CC(C)=N1[Ni](Br)(Br)N(C1C=CC([N+](=O)[O-])=CC=1)=C2C1C=CC=CC=1,MAO,600.0,Cc1ccccc1,313.15,0.5,1.0,703000.0,27.4,51.4,15.5,,,Ni,"(N,N)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C(C)=N3C3C(C)=CC=CC=3CC)C=CC3C=CC=1C=2C=34,MMAO,1000.0,Cc1ccccc1,293.15,10.0,0.5,28600000.0,15.4,19.1,65.5,,,Fe,"(N,N,N)"
N12CN3C(C)=C(C(C)(C)C)C(C)=N3[Ni](Br)(Br)N1=C(C)C(C(C)(C)C)=C2C,EASC,150.0,Cc1ccccc1,303.15,3.8,0.5,1407000.0,89.0,10.1,,33.1,19.4,Ni,"(N,N)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N(C4C=CC=CC=4F)=C(C)C4C=CC=C(N=43)C=2C)C=1,MMAO,2000.0,Cc1ccccc1,293.15,1.0,1.0,820000.0,22.2,,,,,Fe,"(N,N,N)"
C1=C2N([Ni]([P+](C2(C)C)(C2=CC=CC=C2)C2=CC=CC=C2)(Cl)Cl)=CC=C1,MAO,800.0,Cc1ccccc1,303.15,10.0,0.5833333333333334,639540.0,69.0,22.0,8.0,,,Ni,"(N,P)"
C1(N(CCSC2=CC=CC=C2)C=C[N+]=1C1=C(C(C)C)C=CC=C1C(C)C)[Ni](C1N(CCSC2=CC=CC=C2)C=C[N+]=1C1=C(C(C)C)C=CC=C1C(C)C)(Br)Br,EADC,10.0,Cc1ccccc1,295.65,10.0,0.58,633852.0,78.0,21.0,,9.0,1.0,Ni,"(C,C)"
C1C=CC(Br)=C(N2=C(C)C3N4[Co]2(Cl)(Cl)N2C5C=CC=CC=5OC=2C=4C=CC=3)C=1Br,MAO,1000.0,Cc1ccccc1,313.15,10.0,0.5,14000.000000000002,94.8,5.2,,100.0,,Co,"(N,N,N)"
C1=C2N([Ni]([P+](C2C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)(Cl)Cl)=CC=C1,MAO,800.0,Cc1ccccc1,303.15,10.0,0.5833333333333334,381480.0,77.0,18.0,3.0,,,Ni,"(N,P)"
P(C1[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Ni]2([P+](C(P(=O)(OC)OC)=P2(C2C=CC=CC=2)C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)P=1(C1C=CC=CC=1)C1C=CC=CC=1)(=O)(OC)OC,EADC,14.0,Clc1ccccc1,296.15,10.0,0.58,709945.5,81.0,19.0,1.0,20.0,4.0,Ni,"(P,P,P,P)"
C1[NH2+][Cr]23(O=C(C)C=C(C)O2)(O=C(C)C=C(C)O3)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)CC1,MAO,600.0,Cc1ccccc1,318.15,45.0,0.78,9698000.0,,22.9,65.2,,92.3,Cr,"(N,O,O,O,O,P)"
C12C=CC3C=CC=N4[Ni]5(Cl)(Cl)N6C7C=CC=CC=7NC=6C(=CC=1)N5=C2C=34,DEAC,300.0,Cc1ccccc1,293.15,30.0,0.5,9840000.0,91.0,9.0,,70.5,,Ni,"(N,N,N)"
N1(C2C(C(C)C)=CC=CC=2C(C)C)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Ni](Br)(Br)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Si]1(C)C,EADC,500.0,C1CCCCC1C,318.15,10.0,0.5,92000000.0,86.2,13.8,,30.4,10.1,Ni,"(P,P)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(C)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MMAO,200.0,Cc1ccccc1,313.15,30.0,0.5,500000.0,39.6,21.4,13.2,,,Fe,"(N,N,N)"
C1C=C(C2C=CC=CC=2)N2[Co]3(Cl)(Cl)N(C4C(CC)=CC=CC=4CC)=C(C)C4C=CC5C=CC=1C=2C=5N=43,MAO,500.0,Cc1ccccc1,293.15,1.0,0.5,671000.0,91.9,5.4,,97.9,,Co,"(N,N,N)"
C1C=C2C3=N([Ni]4(OC2=CC=1)OC1=CC=CC=C1C1=N4C2C=CC=CC=2N1C(C)C)C1C=CC=CC=1N3C(C)C,DEAC,200.0,Cc1ccccc1,293.15,1.0,0.5,236999.99999999997,93.1,6.9,,,,Ni,"(N,N,O,O)"
[Ni]1([P+](N(C2C(C(C)C)=CC=CC=2C(C)C)[Si](C)(C)C[P+]1(C1C=CC=CC=1)C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)(Br)Br,DEAC,500.0,CC1CCCCC1,318.15,10.0,0.5,9900000.0,87.6,12.4,,60.2,11.8,Ni,"(P,P)"
N12CN3C(C(C)C)=CC(C(C)C)=N3[Ni](Br)(Br)N1=C(C(C)C)C=C2C(C)C,EASC,150.0,Cc1ccccc1,303.15,3.8,0.5,1425000.0,88.8,11.2,,33.6,19.6,Ni,"(N,N)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(Cl)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MAO,1000.0,Cc1ccccc1,303.15,30.0,0.5,409999.99999999994,34.2,20.6,11.2,,,Fe,"(N,N,N)"
N1(C2CCCC2)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Ni](Br)(Br)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Si]1(C)C,EADC,500.0,C1CCCCC1C,318.15,8.0,0.5,64000000.0,83.9,16.1,,34.3,8.1,Ni,"(P,P)"
C1C=C(C)C2N3[Ni](Cl)(Cl)N4C5C=CC=CC=5N(C)C=4C=3C=CC=2C=1,DEAC,200.0,Cc1ccccc1,303.15,10.0,0.33,2910000.0,93.2,6.8,,79.3,,Ni,"(N,N)"
C1C(CO)=N2[Ni](Cl)(Cl)N(C3C(C(C)(C)C)=CC(C(C)(C)C)=CC=3C(C)(C)C)=C3CCCC(C=1)=C23,MMAO,3000.0,Cc1ccccc1,303.15,10.0,0.5,800000.0,19.4,80.6,,60.9,49.9,Ni,"(N,N)"
[P+]1([Cr](Cl)(O2CCCC2)(Cl)(Cl)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)CC1)(C1C=CC=CC=1)C1C=CC=CC=1,MAO,730.0,Cc1ccccc1,358.15,20.0,0.5,4082000.0000000005,0.7,55.7,31.2,,91.2,Cr,"(O,P,P)"
N1(C2CCCC2)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Ni](Br)(Br)[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Si]1(C)C,EADC,500.0,C1CCCCC1C,318.15,10.0,0.5,63000000.0,80.2,19.8,,19.8,4.0,Ni,"(P,P)"
C1C(C)=CC2[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Br)(Br)N3C(C)(C)COC=3C=2C=1,MAO,1000.0,Cc1ccccc1,298.15,1.0,0.5,373000.0,75.72,21.94,,,,Ni,"(N,P)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)(Cl)N4=C(C5N(C)C6C=CC=CC=6N=53)C=CC=C4C=2C)C=1C,MAO,500.0,Cc1ccccc1,313.15,1.0,0.5,3620.0000000000005,55.5,5.5,,,,Fe,"(N,N,N)"
C1C(C)=CC(C(C2C=CC=CC=2)C2C=CC=CC=2)=C(N2[Ni]3(Br)(Br)N(C4C(C)=CC(C)=CC=4C)=C(C)C4C=CC=C(N=43)C=2C)C=1C(C1C=CC=CC=1)C1C=CC=CC=1,EASC,500.0,Cc1ccccc1,313.15,10.0,0.5,133000.0,95.4,4.6,,95.8,,Ni,"(N,N,N)"
C1C2C=CC(C(C)C)=N3[Co]4(Cl)(Cl)N5C(C)=CC=CC=5C=N4C(=CC=1)C=23,MMAO,1500.0,Cc1ccccc1,293.15,30.0,0.3333333333333333,1390000.0,99.2,0.8,,84.2,,Co,"(N,N,N)"
C1C=CC=C([NH+]2[Cr]3(Cl)(Cl)(O4CCCC4)N4C=CC=C4C=N3CC2)C=1,MAO,300.0,Cc1ccccc1,373.15,20.0,0.25,199155.0,64.6,9.7,9.7,94.0,88.9,Cr,"(N,N,N,O)"
C1=CC=N2[Fe]3(Cl)(Cl)N4C5C=CC=CC=5N(C(C)C)C=4C4C=CC5=CC=C1C2=C5N=43,MMAO,1000.0,Cc1ccccc1,293.15,30.0,0.33,922000.0000000001,93.2,6.8,,78.4,,Fe,"(N,N,N)"
C(CCCC)CCCCCCCCCCCCCN1CCC(=O)NCCN2[Fe]3(N(=CC4C(O3)=CC=CC=4)CCNC(=O)CC1)OC1C=CC=CC=1C=2,MAO,500.0,Cc1ccccc1,298.15,5.0,0.5,74600.0,62.64,10.76,15.35,,,Fe,"(N,N,O,O)"
C1C=CC(OC)=C(OCCN2[Co](Cl)(Cl)OC3=CC=CC=C3C=2)C=1,MAO,300.0,Cc1ccccc1,323.15,20.0,0.5,220000.00000000003,35.63,28.58,20.66,,,Co,"(N,O)"
[Ni]1234(N(=C5C=C(NCCN6CCOCC6)C(=O)C=C5O1)CCN12CCOCC1)N1(CCOCC1)CCN3=C1C=C(NCCN2CCOCC2)C(=O)C(O4)=C1,MAO,200.0,Clc1ccccc1,303.15,10.0,0.5833333333333334,364650.0,69.0,26.0,5.0,,,Ni,"(N,N,N,N,O,O)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C(C)=N3C3C(Br)=CC(F)=CC=3Cl)C=CC3C=CC=1C=2C=34,MAO,1000.0,Cc1ccccc1,313.15,10.0,1.0,27100000.0,26.7,35.5,37.8,,,Fe,"(N,N,N)"
C12C=CC3C=CC=N4[Ni]5(Cl)(Cl)N6C7C=CC=CC=7NC=6C(=CC=1)N5=C2C=34,DEAC,300.0,Cc1ccccc1,293.15,30.0,0.6666666666666666,8249999.999999999,96.5,3.5,,68.3,,Ni,"(N,N,N)"
C1N=C2C3N=CC=CC=3/C(=N3/NC(=O[Ni]4/3(/N(=C3\C5C=CC=NC=5C5N=CC=CC\3=5)/NC(C3C=CC([N+]([O-])=O)=CC=3)=O4)(Cl)Cl)C3C=CC([N+]([O-])=O)=CC=3)/C2=CC=1,MAO,1000.0,Cc1ccccc1,303.15,1.0,0.5,55800.0,94.0,6.0,0.0,100.0,0.0,Ni,"(N,N,O,O)"
C1C=CN2[Co]3(Cl)(Cl)N4=C(C=N3C3C(Cl)=CC=CC=3Cl)C=CC3C=CC=1C=2C=34,MMAO,1000.0,Cc1ccccc1,293.15,1.0,0.5,295000.0,100.0,0.0,,,,Co,"(N,N,N)"
C1C=CC=C(OCCN2[Co](Cl)(Cl)OC3=CC=CC=C3C=2)C=1,MAO,500.0,Cc1ccccc1,323.15,20.0,0.5,294000.0,44.33,17.69,20.82,,,Co,"(N,O)"
C1C=CN2[Ni]34(Br)([NH+](CCN(CC)CC)CC5C=CC=CN=53)[NH+](CCN4(CC)CC)CC=2C=1,EADC,200.0,Cc1ccccc1,303.15,10.0,1.0,2740000.0,47.0,44.0,9.0,86.0,56.0,Ni,"(N,N,N,N,N)"
C12C=CC3C=CC=N4[Ni]5(Cl)(Cl)N6C7C=CC=CC=7N(CC7C=CC=CC=7)C=6C(=CC=1)N5=C2C=34,DEAC,300.0,Cc1ccccc1,293.15,30.0,0.3333333333333333,2000000.0,95.7,4.3,,70.3,,Ni,"(N,N,N)"
C12[P+]([Cr]34(O=C(C)CC(C)=O3)(O=C(C)CC(C)=O4)[P+](C3C(OC)=CC=C4C=CC=CC=34)(C3C=CC=CC=3)(C3C=CC=CC=3)C1=CC(C(C)C)=CC=2)(C1C=CC=CC=1)C1C=CC=CC=1,MAO,730.0,Cc1ccccc1,358.15,20.0,0.5,306800.0,0.5,92.1,0.2,,97.1,Cr,"(O,O,O,O,P,P)"
N12[Ni]3(O(C)C4C(N3=CC1=CC=C2)=CC=CC=4)Cl,EASC,250.0,Cc1ccccc1,303.15,20.0,0.33,171105.0,100.0,0.0,,94.0,0.0,Ni,"(N,N,O)"
C1(C(C)C)C=CC=C(C(C)C)C=1N1[Ni](Br)(Br)[P+](C(C)C)(C(C)C)OC=1C(C)(C)C,DEAC,300.97087378640776,Cc1ccccc1,273.15,5.0,1.0,2796585.0,81.0,18.0,2.0,4.0,,Ni,"(N,P)"
C1=C2N([Ni]([P+](C2C)(C2=CC=CC=C2)C2=CC=CC=C2)(Cl)Cl)=CC=C1,MAO,400.0,Cc1ccccc1,303.15,10.0,0.5833333333333334,280500.0,85.0,14.0,2.0,,,Ni,"(N,P)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(Cl)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MAO,350.0,Cc1ccccc1,303.15,30.0,0.5,1320000.0,34.4,21.6,12.8,,,Fe,"(N,N,N)"
C1(N(CCOC)C=C[N+]=1C1=C(C(C)C)C=CC=C1C(C)C)[Ni](C1N(CCOC)C=C[N+]=1C1=C(C(C)C)C=CC=C1C(C)C)(I)I,EADC,10.0,Cc1ccccc1,295.65,10.0,0.58,610376.0,83.0,15.0,,12.0,2.0,Ni,"(C,C)"
C12=[N+](P(C(C)(C)C)C(C)(C)C)C=CN1[P+](C(C)(C)C)(C(C)(C)C)[Cr]2(CC1=CC=CC=C1)(CC1=CC=CC=C1)CC1=CC=CC=C1,MAO,400.0,Clc1ccccc1,303.15,10.0,1.5,279097.5,16.0,18.0,16.0,100.0,95.0,Cr,"(C,C,C,C,P)"
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N(C4C(C)=CC=CC=4C)=CC4C=CC5C=CC=1C=2C=5N=43,MAO,1000.0,Cc1ccccc1,353.15,10.0,1.0,2730000.0,29.8,34.0,36.2,,,Cr,"(N,N,N)"
C1C=CC2[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Br)(Br)N3C(C4C=CC=CC=4)COC=3C=2C=1,MAO,1000.0,Cc1ccccc1,298.15,1.0,0.5,134000.0,82.4,14.47,,,,Ni,"(N,P)"
P(C1[P+](C2C=CC=CC=2)(C2C=CC=CC=2)[Ni](Cl)(Cl)[P+]1(C1C=CC=CC=1)C1C=CC=CC=1)(=O)(OC)OC,MAO,100.0,Cc1ccccc1,296.15,10.0,0.58,83589.0,91.0,9.0,1.0,34.0,20.0,Ni,"(P,P)"
C1C=CC(Br)=C(N2[Ni]3(Br)(Br)N4C5C=CC=CC=5NC=4C4C=CC=C(N=43)C=2C)C=1Br,DEAC,300.0,Cc1ccccc1,313.15,10.0,0.5,2540000.0,93.2,4.3,,80.7,,Ni,"(N,N,N)"
C1C=C2C3=N4[Co](Cl)(Cl)(N(C5C(C(C)C)=CC=CC=5C(C)C)=C3C3=CC=CC(C=1)=C23)N(C(C)C)(C(C)C)CC4,MAO,300.0,Cc1ccccc1,303.15,1.3,0.5,49400.00000000001,45.8,54.2,,59.1703056768559,30.258302583025824,Co,"(N,N,N)"
C1C=CC2N3[Ni](Cl)(Cl)N(C4C(C(C)C)=CC=CC=4C(C)C)=C4CCCC(=CC=2C=1)C=34,TMA,200.0,Cc1ccccc1,303.15,10.0,0.5,211000.0,35.9,10.4,54.7,,,Ni,"(N,N)"
N12C(C)=CC(C)=N1[Ni](Br)(Br)N(C1C(C(C)C)=CC=CC=1C(C)C)=C2C1C=CC=CC=1,MAO,400.0,Cc1ccccc1,293.15,0.5,1.0,82000.0,12.9,22.7,49.8,,,Ni,"(N,N)"
C1C=C(C2C=CC=CC=2)N2[Co]3(Cl)(Cl)N(C4C(CC)=CC=CC=4CC)=C(C4C=CC=CC=4)C4C=CC5C=CC=1C=2C=5N=43,MAO,1000.0,Cc1ccccc1,293.15,1.0,0.5,570000.0,77.8,15.1,,97.4,,Co,"(N,N,N)"
N12CC[NH2+][Ni](Br)(Br)N1=C([Fe])C=C2C,EADC,400.0,Clc1ccccc1,298.15,10.0,1.0,578018.9000000001,,,,,,Ni,"(N,N); (C)"
C1C=CC2[P+](C3C=CC=CC=3)(C3C=CC=CC=3)[Ni](Br)(Br)N3CC(C)OC=3C=2C=1,MAO,1000.0,Cc1ccccc1,298.15,20.0,0.5,574000.0,78.9,7.84,,,,Ni,"(N,P)"
C1C(Br)=N2[Ni](Br)(Br)N3=C(C)C=C(C)N3C2=CC=1,MAO,1000.0,Clc1ccccc1,311.15,10.0,1.0,1800000.0,53.0,47.0,,100.0,52.0,Ni,"(N,N)"
C1C=C(C2C=CC=CC=2)N2[Ni]3(Cl)(Cl)N(C4C(CC)=CC=CC=4CC)=C(C4C=CC=CC=4)C4C=CC5C=CC=1C=2C=5N=43,DEAC,300.0,Cc1ccccc1,303.15,10.0,0.5,5170000.0,97.5,2.5,,36.5,,Ni,"(N,N,N)"
